Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-01,20494.8984375,20647.2890625,20359.845703125,20485.2734375,39819303159,0.0,0.0
2022-11-02,20482.958984375,20742.810546875,20087.134765625,20159.50390625,55552169483,0.0,0.0
2022-11-03,20162.689453125,20382.095703125,20086.240234375,20209.98828125,43228750179,0.0,0.0
2022-11-04,20208.76953125,21209.560546875,20188.01953125,21147.23046875,64072727950,0.0,0.0
2022-11-05,21144.83203125,21446.88671875,21097.634765625,21282.69140625,37846047609,0.0,0.0
2022-11-06,21285.056640625,21345.376953125,20920.19140625,20926.486328125,35082693210,0.0,0.0
2022-11-07,20924.62109375,21053.24609375,20489.97265625,20602.81640625,53510852236,0.0,0.0
2022-11-08,20600.671875,20664.607421875,17603.544921875,18541.271484375,118992465607,0.0,0.0
2022-11-09,18543.76171875,18590.458984375,15682.6923828125,15880.7802734375,102905151606,0.0,0.0
2022-11-10,15883.158203125,18054.3125,15834.0185546875,17586.771484375,83202283721,0.0,0.0
2022-11-11,17583.251953125,17650.943359375,16543.482421875,17034.29296875,55871616488,0.0,0.0
2022-11-12,17036.875,17066.67578125,16651.775390625,16799.185546875,29717699419,0.0,0.0
2022-11-13,16799.72265625,16920.765625,16320.634765625,16353.365234375,27209183682,0.0,0.0
2022-11-14,16352.0283203125,17109.32421875,15872.94140625,16618.19921875,49630243054,0.0,0.0
2022-11-15,16617.484375,17051.962890625,16542.55078125,16884.61328125,36599436183,0.0,0.0
2022-11-16,16884.341796875,16960.294921875,16430.111328125,16669.439453125,33925512989,0.0,0.0
2022-11-17,16670.42578125,16726.439453125,16460.68359375,16687.517578125,27868914022,0.0,0.0
2022-11-18,16687.912109375,16947.05859375,16564.611328125,16697.77734375,26862218609,0.0,0.0
2022-11-19,16696.220703125,16797.876953125,16570.41015625,16711.546875,16106223492,0.0,0.0
2022-11-20,16712.919921875,16746.779296875,16248.6923828125,16291.83203125,21313378652,0.0,0.0
2022-11-21,16291.2236328125,16291.2236328125,15599.046875,15787.2841796875,37429485518,0.0,0.0
2022-11-22,15782.30078125,16253.0478515625,15656.6064453125,16189.76953125,30726828760,0.0,0.0
2022-11-23,16195.5888671875,16638.193359375,16170.5029296875,16610.70703125,32958875628,0.0,0.0
2022-11-24,16611.63671875,16771.474609375,16501.767578125,16604.46484375,26129037414,0.0,0.0
2022-11-25,16602.26953125,16603.31640625,16388.404296875,16521.841796875,18678255976,0.0,0.0
2022-11-26,16521.576171875,16666.86328125,16416.228515625,16464.28125,18000008764,0.0,0.0
2022-11-27,16463.8828125,16594.40625,16437.025390625,16444.626953125,20443898509,0.0,0.0
2022-11-28,16440.22265625,16482.93359375,16054.5302734375,16217.322265625,27743025156,0.0,0.0
2022-11-29,16217.6396484375,16522.2578125,16139.396484375,16444.982421875,23581685468,0.0,0.0
2022-11-30,16445.4765625,17190.9375,16445.4765625,17168.56640625,29523576583,0.0,0.0
2022-12-01,17168.001953125,17197.498046875,16888.388671875,16967.1328125,22895392882,0.0,0.0
2022-12-02,16968.68359375,17088.66015625,16877.880859375,17088.66015625,19539705127,0.0,0.0
2022-12-03,17090.09765625,17116.041015625,16888.140625,16908.236328125,16217776704,0.0,0.0
2022-12-04,16908.169921875,17157.767578125,16903.439453125,17130.486328125,16824520830,0.0,0.0
2022-12-05,17128.89453125,17378.15234375,16922.431640625,16974.826171875,22209086834,0.0,0.0
2022-12-06,16975.23828125,17091.86328125,16939.921875,17089.50390625,19889922369,0.0,0.0
2022-12-07,17089.505859375,17109.376953125,16750.55859375,16848.126953125,19675404389,0.0,0.0
2022-12-08,16847.349609375,17267.916015625,16788.783203125,17233.474609375,20496603770,0.0,0.0
2022-12-09,17232.1484375,17280.546875,17100.8359375,17133.15234375,20328426366,0.0,0.0
2022-12-10,17134.220703125,17216.826171875,17120.68359375,17128.724609375,12706781969,0.0,0.0
2022-12-11,17129.7109375,17245.634765625,17091.8203125,17104.193359375,14122486832,0.0,0.0
2022-12-12,17102.5,17212.564453125,16899.39453125,17206.4375,19617581341,0.0,0.0
2022-12-13,17206.44140625,17930.0859375,17111.763671875,17781.318359375,26634741631,0.0,0.0
2022-12-14,17782.06640625,18318.53125,17739.513671875,17815.650390625,25534481470,0.0,0.0
2022-12-15,17813.64453125,17846.744140625,17322.58984375,17364.865234375,20964448341,0.0,0.0
2022-12-16,17364.546875,17505.525390625,16584.701171875,16647.484375,24031608960,0.0,0.0
2022-12-17,16646.982421875,16800.58984375,16614.029296875,16795.091796875,14463581825,0.0,0.0
